asset_class,asset_subclass,has_market_price,has_cash_flows,has_options_features,is_exchange_traded,has_credit_risk,has_early_exercise,is_path_dependent,volatility_available,liquidity,maturity_years,data_availability,ifrs_level,recommended_method
Bond,Government Bond,1,1,0,1,0,0,0,1,High,21.79,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,18.97,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,5.24,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,14.58,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,10.71,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,18.56,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,15.22,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,25.77,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,23.59,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,21.9,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,5.02,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,15.31,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,27.41,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,17.12,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,4.16,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,26.65,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,19.74,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,8.12,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,17.1,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,11.98,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,8.38,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,11.87,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,16.3,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,21.39,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,28.4,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,17.63,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,29.21,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,21.5,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,9.98,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,29.35,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,9.8,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,21.06,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,29.6,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,4.26,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,22.39,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,29.54,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,4.53,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,16.23,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,18.55,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,21.91,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,20.06,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,13.13,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,5.85,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,7.85,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,9.22,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,29.5,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,8.77,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,17.63,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,11.49,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,25.71,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,23.84,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,28.2,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,18.98,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,28.32,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,6.5,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,14.56,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,21.94,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,7.01,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,25.78,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,17.19,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,9.43,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,29.41,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,19.67,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,20.06,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,7.47,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,18.02,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,6.96,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,9.83,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,2.43,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,17.48,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,25.88,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,7.35,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,6.75,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,25.64,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,4.72,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,12.04,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,26.57,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,5.83,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,10.22,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,9.17,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,16.32,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,7.44,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,24.28,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,2.77,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,18.19,Partial,1,DCF
Equity,Index,1,0,0,1,0,0,0,1,High,,Full,1,Mark-to-Market
Equity,Index,1,0,0,1,0,0,0,1,High,,Full,1,Mark-to-Market
Equity,Index,1,0,0,1,0,0,0,1,High,,Full,1,Mark-to-Market
Bond,Government Bond,1,1,0,1,0,0,0,1,High,6.34,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,18.54,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,3.09,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,5.56,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,9.6,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,4.39,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,13.52,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,22.33,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,22.01,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,9.58,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,9.02,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,25.41,Full,2,DCF
Equity,Index,1,0,0,1,0,0,0,1,High,,Full,1,Mark-to-Market
Bond,Government Bond,1,1,0,1,0,0,0,1,High,3.63,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,9.01,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,7.12,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,28.74,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,14.2,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,8.94,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,5.36,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,3.29,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,29.43,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,4.74,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,11.7,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,13.16,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,26.83,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,19.52,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,17.1,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,3.98,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,26.28,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,18.11,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,5.6,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,28.36,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,20.24,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,3.94,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,3.09,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,3.99,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,21.09,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,9.89,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,11.75,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,22.58,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,17.34,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,24.59,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,5.58,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,11.54,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,8.68,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,23.13,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,16.96,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,10.96,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,3.5,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,4.56,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,20.95,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,19.69,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,18.87,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,23.07,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,5.18,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,3.61,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,22.64,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,5.28,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,25.43,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,4.35,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,13.11,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,4.28,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,18.28,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,24.76,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,18.57,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,4.34,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,21.74,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,5.11,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,13.35,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,5.33,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,22.84,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,28.94,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,4.32,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,28.97,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,17.57,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,16.78,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,9.08,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,16.65,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,10.25,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,18.36,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,27.63,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,26.93,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,11.4,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,14.98,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,9.45,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,29.61,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,9.83,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,21.17,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,4.13,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,22.32,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,4.32,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,3.27,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,23.77,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,6.21,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,13.0,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,25.47,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,5.75,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,26.21,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,23.0,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,23.53,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,12.58,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,5.62,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,7.8,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,19.31,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,2.62,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,23.62,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,24.86,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,26.55,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,15.44,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,19.37,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,27.29,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,11.82,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,17.53,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,11.75,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,27.49,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,26.15,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,14.86,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,9.23,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,19.38,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,19.74,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,17.04,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,6.25,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,7.04,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,27.11,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,29.25,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,3.14,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,11.73,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,5.38,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,27.04,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,21.33,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,15.47,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,26.46,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,2.07,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,22.95,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,17.02,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,19.31,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,22.17,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,9.07,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,25.64,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,5.0,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,13.12,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,12.56,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,25.54,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,5.35,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,15.27,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,15.96,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,22.63,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,14.09,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,11.45,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,17.98,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,11.25,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,4.85,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,15.66,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,9.98,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,25.58,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,13.49,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,27.11,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,26.23,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,15.74,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,28.02,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,15.35,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,7.24,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,7.59,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,5.22,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,4.44,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,15.47,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,12.34,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,3.77,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,21.17,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,21.08,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,15.25,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,11.77,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,22.89,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,22.46,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,12.62,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,18.09,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,25.18,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,6.58,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,8.6,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,12.05,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,21.12,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,12.55,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,17.11,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,8.5,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,16.89,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,19.48,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,11.32,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,5.9,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,15.87,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,24.08,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,21.8,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,2.94,Partial,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,15.83,Partial,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,25.0,Full,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,Medium,14.8,Partial,2,DCF
