asset_class,asset_subclass,has_market_price,has_cash_flows,has_options_features,is_exchange_traded,liquidity,maturity_years,has_credit_risk,has_early_exercise,is_path_dependent,data_availability,volatility_available,ifrs_level,recommended_method
Derivative,Equity Index Future,1,0,0,1,High,0.39,0,0,0,Full,1,1,Forward-Pricing
Equity,Banking Stock,1,1,0,1,High,,0,0,0,Partial,1,2,DDM
Commodity,Energy,1,0,0,1,High,0.96,0,0,0,Full,1,1,Cost-of-Carry
Bond,Corporate Bond (IG),1,1,0,1,High,4.92,1,0,0,Partial,1,2,DCF
Bond,Corporate Bond (HY),1,1,0,1,Low,8.3,1,0,0,Partial,1,2,Credit-Model
Bond,Government Bond,1,1,0,1,High,20.39,0,0,0,Full,1,2,DCF
Derivative,Equity Swap,0,1,0,0,Low,0.96,1,0,0,Partial,1,2,DCF
Option,American Call,1,0,1,1,High,0.76,0,1,0,Full,1,1,Binomial-Tree
Option,Digital Option,0,0,1,0,Low,0.74,0,0,1,Partial,1,2,Monte-Carlo
Bond,Government Bond,1,1,0,1,High,16.65,0,0,0,Full,1,1,DCF
Currency,EM FX Forward,0,0,0,0,Low,0.06,0,0,0,Partial,1,3,Forward-Pricing
Bond,CDS,1,1,0,0,Medium,2.47,1,0,0,Partial,0,2,Credit-Model
Option,American Put,1,0,1,1,High,1.7,0,1,0,Full,1,1,Binomial-Tree
Option,American Put,1,0,1,1,Medium,0.5,0,1,0,Full,1,1,Binomial-Tree
Equity,Fintech Stock,1,0,0,1,High,,0,0,0,Full,1,1,Relative
Bond,Convertible Bond,1,1,1,1,Medium,5.32,1,1,0,Partial,1,3,Credit-Model
Option,Asian Option,0,0,1,0,Low,0.59,0,0,1,Partial,1,3,Monte-Carlo
Currency,Major FX Forward,1,0,0,0,Medium,0.47,0,0,0,Full,1,2,Forward-Pricing
Currency,FX Spot,1,0,0,0,High,0.11,0,0,0,Full,1,1,Forward-Pricing
Option,American Call,1,0,1,1,Medium,1.23,0,1,0,Full,1,2,Binomial-Tree
Bond,MBS,0,1,0,0,Low,11.65,1,0,0,Sparse,0,2,DCF
Bond,Corporate Bond (HY),1,1,0,1,Medium,5.23,1,0,0,Sparse,1,1,Credit-Model
Option,OTC European Option,0,0,1,0,Medium,2.69,1,0,0,Partial,1,3,Black-Scholes
Bond,Government Bond,1,1,0,1,High,14.2,0,0,0,Full,1,1,DCF
Bond,Government Bond,1,1,0,1,High,5.83,0,0,0,Partial,1,2,DCF
Option,Asian Option,0,0,1,0,Low,2.56,0,0,1,Partial,1,3,Monte-Carlo
Commodity,Commodity Spot,1,0,0,1,High,1.41,0,0,0,Full,1,1,Cost-of-Carry
Currency,Major Currency Pair,1,0,0,1,High,,0,0,0,Full,1,1,Forward-Pricing
Bond,Government Bond,1,1,0,1,High,8.77,0,0,0,Partial,1,1,DCF
Bond,CDS,1,1,0,0,Low,2.78,1,0,0,Partial,0,3,Credit-Model
Option,Swaption,0,0,1,0,Low,3.96,0,0,0,Partial,1,2,Black-Scholes
Bond,Corporate Bond (IG),1,1,0,1,High,12.25,1,0,0,Full,1,2,DCF
Derivative,FX Option,0,0,1,0,Low,0.54,0,0,0,Sparse,1,2,Black-Scholes
Derivative,Equity Swap,0,1,0,0,Medium,1.83,1,0,0,Partial,1,2,DCF
Commodity,Industrial Metal,1,0,0,1,High,0.89,0,0,0,Partial,1,1,Cost-of-Carry
Bond,Municipal Bond,0,1,0,0,Low,17.47,1,0,0,Sparse,0,3,DCF
Equity,Biotech Stock,1,0,0,1,High,,0,0,0,Full,1,1,Relative
Currency,EM FX Forward,0,0,0,0,Low,0.95,0,0,0,Sparse,1,2,Forward-Pricing
Bond,CDS,1,1,0,0,Low,8.1,1,0,0,Partial,0,2,Credit-Model
Derivative,Equity Swap,0,1,0,0,Medium,2.55,1,0,0,Partial,1,3,DCF
Bond,Corporate Bond (IG),1,1,0,1,Medium,15.35,1,0,0,Full,1,2,DCF
Option,European Call,1,0,1,1,Medium,1.94,0,0,0,Full,1,2,Black-Scholes
Option,OTC European Option,0,0,1,0,Medium,1.45,1,0,0,Partial,1,3,Black-Scholes
Derivative,Interest Rate Swap,0,1,0,0,Medium,8.65,1,0,0,Full,0,2,DCF
Option,European Put,1,0,1,1,Low,1.2,0,0,0,Partial,1,2,Black-Scholes
Option,European Call,1,0,1,1,Medium,0.09,0,0,0,Partial,1,1,Black-Scholes
Currency,EM FX Forward,0,0,0,0,Low,0.4,0,0,0,Partial,1,2,Forward-Pricing
Option,European Call,1,0,1,1,High,0.6,0,0,0,Partial,1,1,Black-Scholes
Bond,Corporate Bond (HY),1,1,0,1,Low,4.94,1,0,0,Partial,1,3,Credit-Model
Bond,Sovereign Emerging Bond,1,1,0,1,Medium,15.52,1,0,0,Partial,1,2,DCF
Currency,EM FX Forward,0,0,0,0,Low,0.99,0,0,0,Sparse,1,3,Forward-Pricing
Equity,Consumer Staple Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Bond,Corporate Bond (IG),1,1,0,1,Low,18.96,1,0,0,Partial,1,1,DCF
Option,Asian Option,0,0,1,0,High,1.8,0,0,1,Sparse,1,1,Monte-Carlo
Equity,Index ETF,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Derivative,Interest Rate Swap,0,1,0,0,Medium,26.61,1,0,0,Partial,0,2,DCF
Bond,Government Bond,1,1,0,1,High,19.75,0,0,0,Full,1,2,DCF
Option,European Put,1,0,1,1,Medium,0.34,0,0,0,Partial,1,3,Black-Scholes
Bond,Government Bond,1,1,0,1,High,26.23,0,0,0,Partial,1,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,Medium,12.77,1,0,0,Full,1,2,DCF
Bond,Convertible Bond,1,1,1,1,Low,4.24,1,1,0,Partial,1,2,Credit-Model
Commodity,Industrial Metal,1,0,0,1,Medium,1.34,0,0,0,Full,1,3,Cost-of-Carry
Currency,EM FX Forward,0,0,0,0,Medium,0.42,0,0,0,Partial,1,2,Forward-Pricing
Bond,Government Bond,1,1,0,1,Medium,26.65,0,0,0,Partial,1,1,DCF
Option,Barrier Option,0,0,1,0,Low,0.24,0,0,1,Partial,1,2,Monte-Carlo
Bond,Government Bond,1,1,0,1,Medium,9.6,0,0,0,Partial,1,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,Medium,11.87,1,0,0,Partial,1,2,DCF
Commodity,Industrial Metal,1,0,0,1,High,0.47,0,0,0,Full,1,2,Cost-of-Carry
Bond,Corporate Bond (IG),1,1,0,1,Medium,3.94,1,0,0,Full,1,2,DCF
Option,American Call,1,0,1,1,High,0.79,0,1,0,Full,1,2,Binomial-Tree
Option,OTC European Option,0,0,1,0,Low,1.28,1,0,0,Partial,1,3,Black-Scholes
Bond,CDS,0,1,0,0,Medium,2.71,1,0,0,Sparse,0,2,Credit-Model
Bond,Corporate Bond (HY),1,1,0,1,Low,2.28,1,0,0,Sparse,1,2,Credit-Model
Bond,Floating Rate Note,1,1,0,1,Medium,1.3,0,0,0,Partial,1,2,DCF
Currency,FX Spot,1,0,0,0,High,0.51,0,0,0,Full,1,1,Forward-Pricing
Bond,Corporate Bond (IG),1,1,0,1,Low,13.06,1,0,0,Partial,1,1,DCF
Bond,Corporate Bond (IG),1,1,0,1,High,6.26,1,0,0,Partial,1,2,DCF
Bond,Floating Rate Note,1,1,0,1,High,3.45,0,0,0,Full,1,1,DCF
Bond,Corporate Bond (HY),1,1,0,1,Medium,10.7,1,0,0,Partial,1,2,Credit-Model
Option,Barrier Option,0,0,1,0,Low,0.78,0,0,1,Sparse,1,3,Monte-Carlo
Option,European Call,1,0,1,1,Medium,0.44,0,0,0,Full,1,1,Black-Scholes
Option,American Call,1,0,1,1,Medium,1.84,0,1,0,Full,1,1,Binomial-Tree
Derivative,Interest Rate Swap,0,1,0,0,Medium,11.52,1,0,0,Partial,0,2,DCF
Commodity,Industrial Metal,1,0,0,1,Medium,0.92,0,0,0,Partial,1,2,Cost-of-Carry
Bond,Government Bond,1,1,0,1,High,7.95,0,0,0,Partial,1,1,DCF
Currency,EM FX Forward,0,0,0,0,Low,0.47,0,0,0,Sparse,1,3,Forward-Pricing
Bond,Corporate Bond (IG),1,1,0,1,Medium,20.71,1,0,0,Full,1,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,Medium,16.96,1,0,0,Full,1,2,DCF
Currency,FX Spot,1,0,0,0,High,0.79,0,0,0,Full,1,1,Forward-Pricing
Commodity,Commodity Spot,1,0,0,1,High,1.67,0,0,0,Full,1,1,Cost-of-Carry
Derivative,FX Option,0,0,1,0,Low,0.24,0,0,0,Partial,1,3,Black-Scholes
Option,Asian Option,0,0,1,0,Medium,1.65,0,0,1,Sparse,1,3,Monte-Carlo
Bond,CDS,1,1,0,0,Medium,7.09,1,0,0,Partial,0,3,Credit-Model
Derivative,Equity Swap,0,1,0,0,Low,1.21,1,0,0,Partial,1,2,DCF
Commodity,Precious Metal Spot,1,0,0,1,High,,0,0,0,Full,1,1,Cost-of-Carry
Derivative,Interest Rate Swap,0,1,0,0,High,20.75,1,0,0,Full,0,2,DCF
Derivative,Equity Swap,0,1,0,0,Medium,1.65,1,0,0,Partial,1,3,DCF
Bond,CDS,1,1,0,0,Medium,8.31,1,0,0,Sparse,0,3,Credit-Model
Bond,Corporate Bond (HY),1,1,0,1,High,4.73,1,0,0,Partial,1,3,Credit-Model
Bond,Corporate Bond (HY),1,1,0,1,Low,12.81,1,0,0,Partial,1,3,Credit-Model
Commodity,Energy,1,0,0,1,High,0.41,0,0,0,Full,1,1,Cost-of-Carry
Bond,Corporate Bond (HY),1,1,0,1,Low,8.51,1,0,0,Partial,1,2,Credit-Model
Option,American Put,1,0,1,1,Medium,0.57,0,1,0,Full,1,1,Binomial-Tree
Currency,Major Currency Pair,1,0,0,1,High,,0,0,0,Full,1,1,Forward-Pricing
Bond,Corporate Bond (HY),1,1,0,1,Low,6.59,1,0,0,Sparse,1,2,Credit-Model
Option,Asian Option,0,0,1,0,Medium,0.57,0,0,1,Partial,1,2,Monte-Carlo
Bond,Municipal Bond,0,1,0,0,Low,24.75,1,0,0,Partial,0,3,DCF
Commodity,Energy,1,0,0,1,High,0.8,0,0,0,Full,1,1,Cost-of-Carry
Option,Lookback Option,0,0,1,0,Low,1.84,0,0,1,Full,1,3,Monte-Carlo
Commodity,Precious Metal Spot,1,0,0,1,High,,0,0,0,Full,1,1,Cost-of-Carry
Equity,REIT,1,1,0,1,Medium,,0,0,0,Partial,1,1,DDM
Bond,Corporate Bond (HY),1,1,0,1,Low,3.85,1,0,0,Partial,1,2,Credit-Model
Option,American Call,1,0,1,1,Medium,1.71,0,1,0,Full,1,1,Binomial-Tree
Currency,EM FX Forward,0,0,0,0,Low,0.93,0,0,0,Partial,1,3,Forward-Pricing
Option,American Call,1,0,1,1,Medium,0.11,0,1,0,Partial,1,1,Binomial-Tree
Commodity,Agriculture,1,0,0,1,High,1.3,0,0,0,Full,1,2,Cost-of-Carry
Bond,CDS,1,1,0,0,Low,4.54,1,0,0,Sparse,0,2,Credit-Model
Commodity,Energy,1,0,0,1,High,0.94,0,0,0,Full,1,1,Cost-of-Carry
Option,European Put,1,0,1,1,Medium,1.4,0,0,0,Full,1,1,Black-Scholes
Equity,Blue Chip Stock,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Option,Asian Option,0,0,1,0,Low,0.62,0,0,1,Full,1,3,Monte-Carlo
Currency,FX Forward,1,0,0,0,High,0.29,0,0,0,Full,1,2,Forward-Pricing
Option,European Call,1,0,1,1,High,1.82,0,0,0,Full,1,1,Black-Scholes
Option,Digital Option,0,0,1,0,Medium,0.33,0,0,1,Sparse,1,3,Monte-Carlo
Equity,E-commerce Stock,1,0,0,1,Medium,,0,0,0,Partial,1,1,Relative
Bond,Government Bond,1,1,0,1,High,28.74,0,0,0,Full,1,2,DCF
Bond,Government Bond,1,1,0,1,Medium,28.06,0,0,0,Full,1,1,DCF
Derivative,Interest Rate Swap,0,1,0,0,Medium,24.7,1,0,0,Partial,0,2,DCF
Equity,E-commerce Stock,1,0,0,1,High,,0,0,0,Full,1,1,Relative
Option,American Call,1,0,1,1,Medium,0.34,0,1,0,Full,1,2,Binomial-Tree
Bond,Municipal Bond,0,1,0,0,Low,18.01,1,0,0,Sparse,0,3,DCF
Bond,CDS,1,1,0,0,Low,3.41,1,0,0,Sparse,0,2,Credit-Model
Option,European Call,1,0,1,1,Medium,0.81,0,0,0,Full,1,2,Black-Scholes
Equity,Banking Stock,1,1,0,1,Medium,,0,0,0,Full,1,1,DDM
Bond,Corporate Bond (IG),1,1,0,1,Medium,18.49,1,0,0,Full,1,1,DCF
Commodity,Precious Metal Spot,1,0,0,1,High,,0,0,0,Full,1,1,Cost-of-Carry
Bond,Convertible Bond,1,1,1,1,Low,5.25,1,1,0,Partial,1,2,Credit-Model
Bond,Municipal Bond,0,1,0,0,Medium,10.91,1,0,0,Partial,0,3,DCF
Bond,Corporate Bond (IG),1,1,0,1,High,28.42,1,0,0,Partial,1,1,DCF
Currency,Major Currency Pair,1,0,0,1,High,,0,0,0,Full,1,1,Forward-Pricing
Derivative,FX Option,0,0,1,0,Medium,0.35,0,0,0,Partial,1,3,Black-Scholes
Bond,Corporate Bond (IG),1,1,0,1,Medium,16.07,1,0,0,Partial,1,2,DCF
Bond,Floating Rate Note,1,1,0,1,Medium,1.56,0,0,0,Partial,1,2,DCF
Bond,Convertible Bond,1,1,1,1,Medium,9.85,1,1,0,Partial,1,2,Credit-Model
Bond,Corporate Bond (IG),1,1,0,1,Medium,11.99,1,0,0,Full,1,2,DCF
Commodity,Energy,1,0,0,1,High,1.36,0,0,0,Full,1,1,Cost-of-Carry
Option,Digital Option,0,0,1,0,Low,0.92,0,0,1,Sparse,1,3,Monte-Carlo
Bond,Corporate Bond (HY),1,1,0,1,Medium,3.44,1,0,0,Partial,1,2,Credit-Model
Option,Swaption,0,0,1,0,Medium,5.44,0,0,0,Partial,1,3,Black-Scholes
Equity,E-commerce Stock,1,0,0,1,High,,0,0,0,Full,1,1,Relative
Commodity,Energy,1,0,0,1,High,1.45,0,0,0,Full,1,1,Cost-of-Carry
Equity,Index ETF,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Option,European Put,1,0,1,1,Medium,0.82,0,0,0,Full,1,1,Black-Scholes
Derivative,Commodity Future,1,0,0,1,High,0.83,0,0,0,Full,1,1,Cost-of-Carry
Option,European Put,1,0,1,1,High,0.21,0,0,0,Full,1,2,Black-Scholes
Bond,CDS,1,1,0,0,Medium,8.96,1,0,0,Partial,0,3,Credit-Model
Commodity,Agriculture,1,0,0,1,Medium,0.9,0,0,0,Full,1,1,Cost-of-Carry
Bond,CDS,1,1,0,0,Medium,6.63,1,0,0,Partial,0,3,Credit-Model
Option,Digital Option,0,0,1,0,Low,0.24,0,0,1,Sparse,1,3,Monte-Carlo
Equity,Green Energy Stock,1,0,0,1,Medium,,0,0,0,Full,1,2,Relative
Bond,Floating Rate Note,1,1,0,1,High,5.03,0,0,0,Partial,1,2,DCF
Currency,EM FX Forward,0,0,0,0,Medium,0.89,0,0,0,Sparse,1,2,Forward-Pricing
Option,European Call,1,0,1,1,Medium,1.4,0,0,0,Full,1,2,Black-Scholes
Bond,Corporate Bond (HY),1,1,0,1,Low,3.58,1,0,0,Sparse,1,2,Credit-Model
Equity,Consumer Staple Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Equity,REIT,1,1,0,1,High,,0,0,0,Partial,1,2,DDM
Bond,Municipal Bond,0,1,0,0,Medium,4.58,1,0,0,Sparse,0,2,DCF
Commodity,Commodity Spot,1,0,0,1,Medium,1.79,0,0,0,Full,1,1,Cost-of-Carry
Bond,Treasury Bill,1,1,0,1,High,0.57,0,0,0,Full,1,1,DCF
Option,Asian Option,0,0,1,0,Low,1.97,0,0,1,Sparse,1,3,Monte-Carlo
Option,Digital Option,0,0,1,0,Medium,0.09,0,0,1,Partial,1,2,Monte-Carlo
Commodity,Energy,1,0,0,1,Medium,1.21,0,0,0,Full,1,1,Cost-of-Carry
Bond,Corporate Bond (IG),1,1,0,1,High,18.85,1,0,0,Partial,1,3,DCF
Bond,Floating Rate Note,1,1,0,1,High,0.59,0,0,0,Full,1,1,DCF
Bond,CDS,1,1,0,0,Low,9.89,1,0,0,Partial,0,2,Credit-Model
Option,European Put,1,0,1,1,High,1.19,0,0,0,Full,1,1,Black-Scholes
Bond,Convertible Bond,1,1,1,1,High,10.77,1,1,0,Partial,1,2,Credit-Model
Currency,Major FX Forward,1,0,0,0,Medium,0.83,0,0,0,Full,1,2,Forward-Pricing
Currency,Major FX Forward,1,0,0,0,Medium,0.62,0,0,0,Full,1,2,Forward-Pricing
Option,European Put,1,0,1,1,High,1.49,0,0,0,Full,1,1,Black-Scholes
Option,Asian Option,0,0,1,0,Low,2.48,0,0,1,Partial,1,2,Monte-Carlo
Bond,Corporate Bond (IG),1,1,0,1,Low,13.01,1,0,0,Full,1,1,DCF
Option,OTC European Option,0,0,1,0,High,2.89,1,0,0,Full,1,3,Black-Scholes
Equity,SaaS Stock,1,0,0,1,Medium,,0,0,0,Full,1,2,Relative
Bond,Corporate Bond (IG),1,1,0,1,Medium,9.14,1,0,0,Full,1,1,DCF
Bond,Sovereign Emerging Bond,1,1,0,1,Medium,3.47,1,0,0,Partial,1,2,DCF
Bond,Sovereign Emerging Bond,1,1,0,1,Medium,27.61,1,0,0,Partial,1,2,Credit-Model
Option,European Call,1,0,1,1,High,0.54,0,0,0,Full,1,1,Black-Scholes
Bond,Corporate Bond (IG),1,1,0,1,High,3.0,1,0,0,Full,1,2,DCF
Option,Swaption,0,0,1,0,Medium,3.01,0,0,0,Partial,1,2,Black-Scholes
Derivative,Equity Index Future,1,0,0,1,High,0.35,0,0,0,Full,1,1,Forward-Pricing
Option,American Put,1,0,1,1,High,0.17,0,1,0,Full,1,2,Binomial-Tree
Currency,Major FX Forward,1,0,0,0,High,1.16,0,0,0,Partial,1,3,Forward-Pricing
Bond,Government Bond,1,1,0,1,High,24.03,0,0,0,Full,1,1,DCF
Derivative,Equity Index Future,1,0,0,1,High,0.33,0,0,0,Full,1,1,Forward-Pricing
Bond,Municipal Bond,0,1,0,0,Medium,3.73,1,0,0,Partial,0,2,DCF
Currency,Major FX Forward,1,0,0,0,High,0.72,0,0,0,Full,1,2,Forward-Pricing
Bond,Government Bond,1,1,0,1,High,15.89,0,0,0,Full,1,1,DCF
Commodity,Energy,1,0,0,1,Medium,1.81,0,0,0,Full,1,1,Cost-of-Carry
Commodity,Precious Metal Spot,1,0,0,1,High,,0,0,0,Full,1,1,Cost-of-Carry
Option,Swaption,0,0,1,0,Low,6.69,0,0,0,Partial,1,3,Black-Scholes
Option,American Put,1,0,1,1,Medium,1.24,0,1,0,Full,1,2,Binomial-Tree
Derivative,Interest Rate Swap,0,1,0,0,Medium,22.49,1,0,0,Partial,0,2,DCF
Equity,Fintech Stock,1,0,0,1,Medium,,0,0,0,Partial,1,2,Relative
Bond,MBS,0,1,0,0,Medium,12.85,1,0,0,Sparse,0,2,DCF
Bond,Government Bond,1,1,0,1,High,3.64,0,0,0,Full,1,1,DCF
Bond,Convertible Bond,1,1,1,1,Medium,9.04,1,1,0,Partial,1,2,Credit-Model
Currency,Cross Currency Swap,0,1,0,0,Medium,6.44,1,0,0,Partial,0,2,Forward-Pricing
Option,European Put,1,0,1,1,High,0.08,0,0,0,Full,1,2,Black-Scholes
Option,Asian Option,0,0,1,0,Low,2.8,0,0,1,Sparse,1,2,Monte-Carlo
Bond,CDS,1,1,0,0,Medium,4.12,1,0,0,Partial,0,2,Credit-Model
Bond,Zero-Coupon Bond,1,1,0,1,High,1.16,0,0,0,Full,1,1,DCF
Bond,Government Bond,1,1,0,1,High,18.32,0,0,0,Full,1,1,DCF
Derivative,Equity Swap,0,1,0,0,Medium,0.85,1,0,0,Partial,1,2,DCF
Currency,Major FX Forward,1,0,0,0,High,0.04,0,0,0,Full,1,1,Forward-Pricing
Bond,Sovereign Emerging Bond,1,1,0,1,Low,16.43,1,0,0,Sparse,1,2,Credit-Model
Currency,Major FX Forward,1,0,0,0,High,0.16,0,0,0,Full,1,1,Forward-Pricing
Equity,Banking Stock,1,1,0,1,High,,0,0,0,Full,1,2,DDM
Equity,Mid Cap,1,1,0,1,Medium,,0,0,0,Full,1,1,DDM
Option,Digital Option,0,0,1,0,Low,1.0,0,0,1,Full,1,3,Monte-Carlo
Equity,SaaS Stock,1,0,0,1,High,,0,0,0,Full,1,2,Relative
Equity,E-commerce Stock,1,0,0,1,Medium,,0,0,0,Full,1,2,Relative
Commodity,Commodity Forward,1,0,0,1,Medium,1.42,0,0,0,Full,1,2,Cost-of-Carry
Bond,Corporate Bond (HY),1,1,0,1,Medium,7.39,1,0,0,Sparse,1,3,Credit-Model
Currency,Major FX Forward,1,0,0,0,High,0.89,0,0,0,Full,1,1,Forward-Pricing
Currency,Major Currency Pair,1,0,0,1,High,,0,0,0,Full,1,1,Forward-Pricing
Bond,Corporate Bond (IG),1,1,0,1,Medium,27.04,1,0,0,Full,1,2,DCF
Currency,EM FX Forward,0,0,0,0,Medium,0.91,0,0,0,Sparse,1,2,Forward-Pricing
Option,European Option,1,0,1,1,Medium,0.06,0,0,0,Full,1,2,Black-Scholes
Commodity,Commodity Spot,1,0,0,1,Medium,1.5,0,0,0,Full,1,1,Cost-of-Carry
Option,American Call,1,0,1,1,Medium,1.81,0,1,0,Full,1,2,Binomial-Tree
Bond,Corporate Bond (IG),1,1,0,1,Medium,12.62,1,0,0,Full,1,2,DCF
Derivative,FX Option,0,0,1,0,Low,1.44,0,0,0,Partial,1,3,Black-Scholes
Currency,FX Spot,1,0,0,0,High,0.16,0,0,0,Full,1,1,Forward-Pricing
Bond,Government Bond,1,1,0,1,High,21.08,0,0,0,Partial,1,1,DCF
Option,European Call,1,0,1,1,Low,0.14,0,0,0,Full,1,1,Black-Scholes
Option,OTC European Option,0,0,1,0,Low,2.08,1,0,0,Partial,1,2,Black-Scholes
Commodity,Agriculture,1,0,0,1,High,0.74,0,0,0,Partial,1,2,Cost-of-Carry
Option,European Put,1,0,1,1,High,0.44,0,0,0,Full,1,2,Black-Scholes
Bond,Government Bond ETF,1,1,0,1,High,6.396274558333548,0,0,0,Full,1,1,Mark-to-Market
Option,OTC European Option,0,0,1,0,Medium,2.34,1,0,0,Partial,1,2,Black-Scholes
Currency,FX Forward,1,0,0,0,High,0.99,0,0,0,Partial,1,1,Forward-Pricing
Option,Barrier Option,0,0,1,0,Low,0.56,0,0,1,Partial,1,3,Monte-Carlo
Currency,Cross Currency Swap,0,1,0,0,Low,6.22,1,0,0,Partial,0,3,Forward-Pricing
Bond,Corporate Bond (HY),1,1,0,1,Low,8.42,1,0,0,Sparse,1,3,Credit-Model
Bond,Zero-Coupon Bond,1,1,0,1,High,18.05,0,0,0,Full,1,1,DCF
Currency,Major Currency Pair,1,0,0,1,High,,0,0,0,Full,1,1,Forward-Pricing
Bond,Corporate Bond (IG),1,1,0,1,High,9.25,1,0,0,Partial,1,2,DCF
Currency,Major FX Forward,1,0,0,0,High,0.34,0,0,0,Full,1,2,Forward-Pricing
Option,American Option,1,0,1,1,High,0.91,0,1,0,Full,1,1,Binomial-Tree
Option,American Put,1,0,1,1,High,1.64,0,1,0,Full,1,1,Binomial-Tree
Bond,Corporate Bond (IG),1,1,0,1,High,4.55,1,0,0,Partial,1,1,DCF
Currency,Major FX Forward,1,0,0,0,Medium,0.79,0,0,0,Partial,1,1,Forward-Pricing
Option,American Put,1,0,1,1,High,0.3,0,1,0,Full,1,1,Binomial-Tree
Bond,Corporate Bond (IG),1,1,0,1,High,2.91,1,0,0,Full,1,2,DCF
Option,Swaption,0,0,1,0,Medium,7.56,0,0,0,Partial,1,2,Black-Scholes
Currency,FX Forward,1,0,0,0,High,0.96,0,0,0,Full,1,2,Forward-Pricing
Currency,FX Forward,1,0,0,0,High,0.79,0,0,0,Full,1,1,Forward-Pricing
Bond,Convertible Bond,1,1,1,1,Low,7.97,1,1,0,Partial,1,2,Credit-Model
Commodity,Commodity Spot,1,0,0,1,High,1.37,0,0,0,Full,1,1,Cost-of-Carry
Option,Asian Option,0,0,1,0,Medium,2.07,0,0,1,Sparse,1,2,Monte-Carlo
Currency,Cross Currency Swap,0,1,0,0,Low,8.2,1,0,0,Partial,0,2,Forward-Pricing
Bond,Corporate Bond (HY),1,1,0,1,Low,3.15,1,0,0,Partial,1,2,Credit-Model
Derivative,Interest Rate Swap,0,1,0,0,High,22.63,1,0,0,Partial,0,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,Medium,28.52,1,0,0,Partial,1,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,Medium,18.94,1,0,0,Full,1,1,DCF
Bond,Convertible Bond,1,1,1,1,Medium,3.97,1,1,0,Partial,1,3,Credit-Model
Equity,REIT,1,1,0,1,Medium,,0,0,0,Full,1,1,DDM
Derivative,Interest Rate Swap,0,1,0,0,High,20.93,1,0,0,Full,0,2,DCF
Bond,CDS,1,1,0,0,Low,4.04,1,0,0,Partial,0,2,Credit-Model
Option,American Call,1,0,1,1,High,0.76,0,1,0,Partial,1,1,Binomial-Tree
Bond,Government Bond,1,1,0,1,Medium,4.34,0,0,0,Full,1,2,DCF
