asset_class,asset_subclass,has_market_price,has_cash_flows,has_options_features,is_exchange_traded,liquidity,maturity_years,has_credit_risk,has_early_exercise,is_path_dependent,data_availability,volatility_available,ifrs_level,recommended_method
Bond,Corporate Bond,0,1,0,1,Medium,3.875237256051094,0,0,0,Partial,0,3,DCF
Equity,Growth Stock,1,1,0,1,Medium,,0,0,0,Full,1,1,DCF
Commodity,Energy,1,0,0,1,Medium,1.2826195413951833,0,0,0,Full,1,1,Cost-of-Carry
Equity,Growth Stock,1,1,0,1,Low,,0,0,0,Full,1,1,Relative
Commodity,Liquid Exchange-Traded,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
ETF,Liquid Exchange-Traded,1,0,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Option,European Option,1,0,1,1,Medium,0.10592641358555048,0,0,0,Full,1,1,Black-Scholes
Currency,FX Forward,1,0,0,0,High,0.6614318236307231,0,0,0,Full,1,2,Forward-Pricing
Option,European Option,1,0,1,1,Low,0.1561268851355811,0,0,0,Full,1,1,Black-Scholes
Option,American Option,0,0,1,1,Low,0.8131788407284393,0,1,0,Full,1,1,Binomial-Tree
Equity,Growth Stock,1,1,0,1,Medium,,0,0,0,Full,1,1,DCF
Commodity,Precious Metal,1,0,0,1,High,1.0299715394694315,0,0,0,Full,1,1,Cost-of-Carry
Bond,Government Bond,1,1,0,1,Medium,6.2551402006577135,0,0,0,Full,0,1,DCF
Option,American Option,1,0,1,1,Medium,1.198037347536111,0,1,0,Partial,1,1,Binomial-Tree
Option,European Option,0,0,1,0,Low,0.1267186149797018,0,0,0,Full,1,2,Black-Scholes
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Commodity,Precious Metal,1,0,0,1,Medium,1.6859761208184567,0,0,0,Full,1,1,Cost-of-Carry
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Full,1,1,Relative
Bond,Government Bond,1,1,0,1,Low,3.5439376514578913,0,0,0,Full,1,2,DCF
Option,Barrier Option,0,0,1,0,Low,4.045866048109219,0,1,1,Partial,1,3,Monte-Carlo
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Full,1,1,Relative
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Bond,Government Bond,1,1,0,1,Medium,11.56749522334998,0,0,0,Partial,0,1,DCF
Bond,Corporate Bond,1,1,0,0,Low,12.786079560646542,1,0,0,Sparse,0,3,Credit-Model
Option,American Option,0,0,1,1,Medium,0.36238654530197717,0,1,0,Partial,1,2,Binomial-Tree
Commodity,Energy,1,0,0,1,Medium,0.38179034548807717,0,0,0,Full,1,1,Cost-of-Carry
Equity,Growth Stock,1,1,0,1,Low,,0,0,0,Full,1,1,DCF
Bond,Government Bond,1,1,0,1,High,18.97934148252916,0,0,0,Full,0,1,DCF
Bond,Corporate Bond,0,1,0,0,Medium,11.018944757979925,1,0,0,Sparse,0,2,Credit-Model
Bond,Government Bond,1,1,0,1,High,29.47576385303104,0,0,0,Full,1,2,DCF
Option,European Option,0,0,1,1,Medium,1.7055387801887314,0,0,0,Partial,1,1,Black-Scholes
Option,European Option,0,0,1,1,High,0.3547343432847374,0,0,0,Partial,1,1,Black-Scholes
Commodity,Liquid Exchange-Traded,1,0,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Bond,Corporate Bond,1,1,0,0,High,5.148796628978669,0,0,0,Full,0,3,DCF
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Commodity,Precious Metal,1,0,0,1,High,1.6867037972537569,0,0,0,Full,1,1,Cost-of-Carry
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Partial,1,1,DCF
Derivative,Interest Rate Swap,0,1,0,0,Low,16.65741510631518,1,0,0,Sparse,0,2,DCF
Option,American Option,1,0,1,1,Medium,1.5327141576526953,0,1,0,Partial,1,1,Binomial-Tree
Equity,Growth Stock,1,1,0,1,Low,,0,0,0,Full,1,1,Relative
Option,American Option,0,0,1,1,High,1.3853375338828906,0,1,0,Full,1,1,Binomial-Tree
Bond,Corporate Bond,0,1,0,0,Low,5.391537116728935,0,0,0,Partial,0,3,DCF
Commodity,Liquid Exchange-Traded,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Derivative,Currency Swap,0,1,0,0,Medium,6.520214622449092,1,0,0,Partial,0,3,DCF
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Bond,Corporate Bond,1,1,0,1,High,29.284950870893045,0,0,0,Sparse,0,3,DCF
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Full,1,1,DCF
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Full,1,1,DCF
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Full,1,1,Relative
Commodity,Liquid Exchange-Traded,1,0,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Option,European Option,1,0,1,1,Low,0.745180951876979,0,0,0,Partial,1,2,Black-Scholes
Bond,Corporate Bond,1,1,0,1,Low,26.163360839657933,1,0,0,Sparse,1,3,Credit-Model
Equity,Growth Stock,1,1,0,1,Medium,,0,0,0,Partial,1,1,Relative
ETF,Liquid Exchange-Traded,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Option,American Option,0,0,1,1,High,1.8094166258057045,0,1,0,Partial,1,2,Binomial-Tree
Commodity,Agriculture,1,0,0,1,High,0.7498241058467403,0,0,0,Full,1,1,Cost-of-Carry
Option,European Option,1,0,1,1,High,0.8331867931613554,0,0,0,Partial,1,2,Black-Scholes
Equity,Liquid Exchange-Traded,1,0,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Bond,Government Bond,1,1,0,1,High,4.897145418427003,0,0,0,Full,0,1,DCF
Bond,Government Bond,1,1,0,1,High,9.928577340207115,0,0,0,Full,1,2,DCF
Bond,Corporate Bond,0,1,0,0,High,19.79945166825684,1,0,0,Full,0,3,Credit-Model
Bond,Corporate Bond,1,1,0,0,Medium,20.007643374779178,0,0,0,Full,0,2,DCF
Bond,Government Bond,0,1,0,1,Low,24.013801264266544,0,0,0,Sparse,1,2,DCF
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Commodity,Industrial Metal,1,0,0,1,Medium,1.9437980748527253,0,0,0,Full,1,1,Cost-of-Carry
Bond,Government Bond,1,1,0,1,High,22.527583524658368,0,0,0,Full,0,1,DCF
Option,American Option,1,0,1,1,Medium,1.0114954439871522,0,1,0,Full,1,2,Binomial-Tree
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Full,1,1,Relative
Bond,Government Bond,1,1,0,1,High,22.933145900785544,0,0,0,Partial,1,2,DCF
Bond,Corporate Bond,1,1,0,0,Medium,11.63368751138646,1,0,0,Partial,0,3,Credit-Model
Commodity,Precious Metal,1,0,0,1,Medium,0.596927702862687,0,0,0,Full,1,1,Cost-of-Carry
Option,Asian Option,0,0,1,0,Low,3.7625618570605948,0,1,1,Sparse,1,3,Monte-Carlo
Option,European Option,1,0,1,1,Low,1.8656251524886005,0,0,0,Partial,1,2,Black-Scholes
Equity,Liquid Exchange-Traded,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Commodity,Energy,1,0,0,1,Medium,1.2053322289244195,0,0,0,Full,1,1,Cost-of-Carry
Commodity,Agriculture,1,0,0,1,High,1.0620960603500265,0,0,0,Full,1,1,Cost-of-Carry
Bond,Corporate Bond,1,1,0,0,Low,12.610342178355088,1,0,0,Sparse,0,3,Credit-Model
Bond,Government Bond,1,1,0,1,High,6.058478886991824,0,0,0,Partial,1,1,DCF
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Partial,1,1,Relative
Currency,FX Forward,1,0,0,0,High,0.05261983827818781,0,0,0,Full,1,2,Forward-Pricing
Currency,FX Forward,0,0,0,0,Medium,0.997374199406975,0,0,0,Full,1,2,Forward-Pricing
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Bond,Government Bond,1,1,0,0,High,2.045474498719273,0,0,0,Full,1,2,DCF
Option,European Option,1,0,1,1,High,0.41385529119970493,0,0,0,Partial,1,1,Black-Scholes
Option,European Option,0,0,1,1,Low,1.4033408205608555,0,0,0,Full,1,2,Black-Scholes
Option,European Option,1,0,1,1,High,0.43259968443747426,0,0,0,Partial,1,2,Black-Scholes
Equity,Liquid Exchange-Traded,1,0,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Option,European Option,0,0,1,0,High,0.22979270446121441,0,0,0,Full,1,1,Black-Scholes
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Bond,Government Bond,1,1,0,1,High,9.034892197926313,0,0,0,Full,1,2,DCF
Bond,Government Bond,1,1,0,0,High,24.5845189675421,0,0,0,Partial,0,1,DCF
ETF,Liquid Exchange-Traded,1,0,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
ETF,Liquid Exchange-Traded,1,0,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Currency,FX Forward,1,0,0,0,High,0.4097275124421337,0,0,0,Full,1,2,Forward-Pricing
Bond,Government Bond,1,1,0,0,High,24.56912882761295,0,0,0,Full,0,2,DCF
Equity,Growth Stock,1,1,0,1,Low,,0,0,0,Partial,1,1,Relative
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Full,1,1,DCF
Bond,Government Bond,1,1,0,0,Medium,9.71060338041295,0,0,0,Full,1,1,DCF
Option,Digital Option,0,0,1,0,Medium,2.3762145648246764,0,1,1,Partial,1,3,Monte-Carlo
Option,American Option,0,0,1,1,High,0.28804962010198026,0,1,0,Full,1,2,Binomial-Tree
Equity,Dividend Stock,1,1,0,1,Medium,,0,0,0,Full,1,1,DDM
Currency,FX Forward,1,0,0,0,High,0.5856581914034383,0,0,0,Full,1,2,Forward-Pricing
Option,European Option,1,0,1,1,High,0.5412274261644778,0,0,0,Full,1,1,Black-Scholes
Bond,Corporate Bond,0,1,0,0,Low,24.808449501675085,1,0,0,Partial,0,3,Credit-Model
Equity,Dividend Stock,1,1,0,1,Medium,,0,0,0,Full,1,1,DDM
Bond,Government Bond,1,1,0,1,High,29.816989569766022,0,0,0,Partial,0,1,DCF
Commodity,Liquid Exchange-Traded,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Bond,Government Bond,1,1,0,1,Low,1.6020298151583716,0,0,0,Full,0,2,DCF
Bond,Government Bond,1,1,0,1,High,29.52333502680489,0,0,0,Full,0,1,DCF
Derivative,CDS,0,1,0,0,Low,10.56797060443177,1,0,0,Sparse,0,2,DCF
Option,Barrier Option,0,0,1,0,Low,0.6077320595583362,0,0,1,Partial,0,3,Monte-Carlo
Bond,Corporate Bond,1,1,0,0,Low,18.052013439459223,1,0,0,Partial,0,3,Credit-Model
Bond,Corporate Bond,0,1,0,0,Medium,3.012428491221318,0,0,0,Full,0,2,DCF
Currency,FX Forward,1,0,0,0,High,0.6097291532682599,0,0,0,Full,1,2,Forward-Pricing
Option,American Option,0,0,1,1,Medium,1.9833635955493707,0,1,0,Partial,1,2,Binomial-Tree
Equity,Dividend Stock,1,1,0,1,Medium,,0,0,0,Full,1,1,DDM
Commodity,Agriculture,1,0,0,1,High,0.9216913225105885,0,0,0,Full,1,1,Cost-of-Carry
Bond,Government Bond,1,1,0,0,High,19.114594933445858,0,0,0,Full,1,1,DCF
ETF,Liquid Exchange-Traded,1,0,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Bond,Corporate Bond,1,1,0,0,Low,27.97479088301395,0,0,0,Partial,1,2,DCF
Equity,Liquid Exchange-Traded,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Commodity,Agriculture,1,0,0,1,High,0.10028887572693045,0,0,0,Full,1,1,Cost-of-Carry
Commodity,Industrial Metal,1,0,0,1,Medium,0.46010865062713774,0,0,0,Full,1,1,Cost-of-Carry
Option,Barrier Option,0,0,1,0,Low,3.069449361361002,0,1,1,Partial,0,3,Monte-Carlo
Option,European Option,0,0,1,1,High,1.3985184435201194,0,0,0,Full,1,1,Black-Scholes
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Full,1,1,DCF
Option,European Option,0,0,1,1,Medium,0.9647169394434528,0,0,0,Full,1,2,Black-Scholes
Option,American Option,0,0,1,1,Low,1.08933011626266,0,1,0,Full,1,2,Binomial-Tree
Bond,Corporate Bond,0,1,0,0,Medium,2.460136282111244,1,0,0,Full,0,2,Credit-Model
Bond,Government Bond,1,1,0,1,High,19.183209735097467,0,0,0,Full,0,2,DCF
Equity,Liquid Exchange-Traded,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Currency,FX Forward,0,0,0,0,Medium,0.29571181432472404,0,0,0,Full,1,2,Forward-Pricing
Option,Asian Option,0,0,1,0,Low,2.379865002858836,0,1,1,Sparse,0,3,Monte-Carlo
Bond,Government Bond,1,1,0,1,High,9.172593567332795,0,0,0,Partial,1,2,DCF
Currency,FX Forward,1,0,0,0,Medium,0.19181524481102713,0,0,0,Full,1,2,Forward-Pricing
Derivative,Currency Swap,0,1,0,0,Low,16.94771104507023,1,0,0,Partial,0,3,DCF
Bond,Corporate Bond,0,1,0,0,Low,27.67398458160365,0,0,0,Full,0,3,DCF
Option,American Option,1,0,1,1,Medium,0.8880892061821376,0,1,0,Partial,1,2,Binomial-Tree
Option,European Option,0,0,1,1,Low,0.2787825424216598,0,0,0,Full,1,1,Black-Scholes
Derivative,CDS,0,1,0,0,Medium,13.272012346275892,1,0,0,Sparse,0,2,DCF
Option,American Option,1,0,1,1,Medium,1.9592513488129473,0,1,0,Full,1,2,Binomial-Tree
Equity,Dividend Stock,1,1,0,1,Medium,,0,0,0,Full,1,1,DDM
Option,European Option,0,0,1,0,High,0.6510205694250867,0,0,0,Full,1,2,Black-Scholes
Option,Digital Option,0,0,1,0,Medium,2.917624735682033,0,1,1,Partial,1,3,Monte-Carlo
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Partial,1,1,Relative
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Full,1,1,Relative
Option,American Option,1,0,1,1,Medium,0.3614546429554015,0,1,0,Partial,1,2,Binomial-Tree
Bond,Corporate Bond,0,1,0,1,Medium,5.160614253522581,1,0,0,Full,0,3,Credit-Model
Option,European Option,0,0,1,1,High,0.753233947392034,0,0,0,Full,1,2,Black-Scholes
Option,European Option,0,0,1,0,High,1.7305928987707104,0,0,0,Partial,1,2,Black-Scholes
Option,European Option,0,0,1,1,High,0.47894474968082773,0,0,0,Partial,1,2,Black-Scholes
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Option,European Option,1,0,1,1,High,0.5925729426357574,0,0,0,Full,1,2,Black-Scholes
Commodity,Energy,1,0,0,1,High,1.8252761491957976,0,0,0,Full,1,1,Cost-of-Carry
Option,American Option,0,0,1,1,Low,0.13786186980620851,0,1,0,Partial,1,1,Binomial-Tree
Bond,Government Bond,1,1,0,1,High,4.1982936827810455,0,0,0,Full,0,2,DCF
Option,European Option,1,0,1,1,High,0.6877307466549673,0,0,0,Partial,1,2,Black-Scholes
Equity,Dividend Stock,1,1,0,1,Medium,,0,0,0,Full,1,1,DDM
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Bond,Government Bond,1,1,0,1,Medium,6.320060130209741,0,0,0,Full,0,1,DCF
Bond,Government Bond,1,1,0,1,Medium,25.16167062316198,0,0,0,Full,1,2,DCF
ETF,Liquid Exchange-Traded,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Option,European Option,0,0,1,0,Low,1.255031701051081,0,0,0,Full,1,1,Black-Scholes
ETF,Liquid Exchange-Traded,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Derivative,CDS,0,1,0,0,Low,12.505517166619452,1,0,0,Sparse,0,3,DCF
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Full,1,1,DCF
Bond,Corporate Bond,1,1,0,0,Low,20.885670295915745,1,0,0,Sparse,1,3,Credit-Model
Currency,FX Forward,1,0,0,0,High,0.8909531739806804,0,0,0,Full,1,2,Forward-Pricing
Bond,Government Bond,1,1,0,1,High,16.363617886160792,0,0,0,Full,1,1,DCF
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Full,1,1,DCF
Bond,Government Bond,0,1,0,1,Low,19.11572861429817,0,0,0,Full,0,1,DCF
Currency,FX Forward,1,0,0,0,High,0.4394868361032332,0,0,0,Full,1,2,Forward-Pricing
Option,European Option,1,0,1,0,High,1.6925241508102078,0,0,0,Full,1,1,Black-Scholes
Derivative,Interest Rate Swap,0,1,0,0,Low,9.824998017917775,1,0,0,Partial,0,2,DCF
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Bond,Corporate Bond,1,1,0,0,Medium,24.02411887010369,1,0,0,Sparse,0,3,Credit-Model
Option,European Option,1,0,1,0,High,1.5789051581656426,0,0,0,Partial,1,1,Black-Scholes
Derivative,Currency Swap,0,1,0,0,Low,24.909385213695224,1,0,0,Sparse,0,3,DCF
Commodity,Energy,1,0,0,1,Medium,0.7763059832683935,0,0,0,Full,1,1,Cost-of-Carry
Option,American Option,0,0,1,1,Low,0.4039770841557473,0,1,0,Full,1,1,Binomial-Tree
Option,Asian Option,0,0,1,0,Low,3.950747597858837,0,1,1,Sparse,1,3,Monte-Carlo
Option,American Option,1,0,1,1,High,0.4176854077812103,0,1,0,Full,1,1,Binomial-Tree
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Option,European Option,1,0,1,0,High,0.7892916730519632,0,0,0,Partial,1,2,Black-Scholes
Option,European Option,0,0,1,1,Medium,0.3227164889830364,0,0,0,Full,1,1,Black-Scholes
Bond,Government Bond,1,1,0,1,High,27.54520383317671,0,0,0,Full,1,2,DCF
Option,American Option,1,0,1,1,Medium,1.7561590365378836,0,1,0,Partial,1,1,Binomial-Tree
Option,American Option,1,0,1,1,Low,1.6282342864453194,0,1,0,Partial,1,2,Binomial-Tree
Equity,Growth Stock,1,1,0,1,Medium,,0,0,0,Full,1,1,DCF
Option,European Option,1,0,1,0,High,1.2320741447075936,0,0,0,Full,1,1,Black-Scholes
Option,Lookback Option,0,0,1,0,Low,4.7269174673645304,0,1,1,Sparse,0,3,Monte-Carlo
Currency,FX Forward,1,0,0,0,Medium,0.4936518571212083,0,0,0,Full,1,2,Forward-Pricing
Option,American Option,0,0,1,1,Medium,0.45875499227010574,0,1,0,Partial,1,1,Binomial-Tree
Bond,Corporate Bond,0,1,0,0,Medium,2.4593650551052546,0,0,0,Full,1,2,DCF
Bond,Government Bond,1,1,0,0,High,21.14219828944201,0,0,0,Sparse,1,1,DCF
Option,Barrier Option,0,0,1,0,Medium,2.34540952547803,0,0,1,Partial,1,3,Monte-Carlo
Equity,Liquid Exchange-Traded,1,0,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Full,1,1,Relative
Bond,Corporate Bond,0,1,0,1,Medium,3.907121347963422,0,0,0,Full,0,3,DCF
Option,European Option,1,0,1,1,High,0.5517876165792738,0,0,0,Partial,1,1,Black-Scholes
Option,European Option,0,0,1,0,Medium,0.6438118632830467,0,0,0,Full,1,1,Black-Scholes
Commodity,Industrial Metal,1,0,0,1,Medium,1.3228553089672301,0,0,0,Full,1,1,Cost-of-Carry
Option,European Option,0,0,1,1,Low,0.055703379453955426,0,0,0,Full,1,2,Black-Scholes
Option,American Option,1,0,1,1,Low,1.7704588166431479,0,1,0,Full,1,2,Binomial-Tree
Bond,Government Bond,1,1,0,0,High,20.361782069563287,0,0,0,Partial,0,1,DCF
Equity,Growth Stock,1,1,0,1,Medium,,0,0,0,Full,1,1,Relative
Commodity,Agriculture,1,0,0,1,High,0.24522472579731425,0,0,0,Full,1,1,Cost-of-Carry
Bond,Corporate Bond,0,1,0,1,Low,16.82518309557775,1,0,0,Full,1,3,Credit-Model
ETF,Liquid Exchange-Traded,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Bond,Corporate Bond,0,1,0,0,Medium,10.698833286425018,0,0,0,Partial,1,3,DCF
Bond,Government Bond,1,1,0,1,Low,11.944657308836122,0,0,0,Partial,0,2,DCF
Option,Digital Option,0,0,1,0,Medium,2.836502832077339,0,0,1,Sparse,0,3,Monte-Carlo
Option,European Option,1,0,1,1,Medium,1.507520771536737,0,0,0,Partial,1,1,Black-Scholes
Commodity,Liquid Exchange-Traded,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Commodity,Industrial Metal,1,0,0,1,High,0.334749529396831,0,0,0,Full,1,1,Cost-of-Carry
Option,European Option,0,0,1,1,Low,0.6856073703875684,0,0,0,Full,1,2,Black-Scholes
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Option,European Option,0,0,1,1,Medium,1.1553352192774535,0,0,0,Partial,1,2,Black-Scholes
Option,Barrier Option,0,0,1,0,Low,4.244363486921568,0,0,1,Partial,1,3,Monte-Carlo
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Option,Digital Option,0,0,1,0,Low,4.4817653652140885,0,0,1,Partial,1,3,Monte-Carlo
Option,Lookback Option,0,0,1,0,Low,3.8750237729939014,0,0,1,Partial,1,3,Monte-Carlo
Commodity,Liquid Exchange-Traded,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Commodity,Liquid Exchange-Traded,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Option,European Option,1,0,1,1,High,0.04282150782491081,0,0,0,Full,1,1,Black-Scholes
Commodity,Agriculture,1,0,0,1,Medium,0.9854385845009265,0,0,0,Full,1,1,Cost-of-Carry
Option,European Option,1,0,1,1,Medium,0.30450938237823316,0,0,0,Full,1,1,Black-Scholes
Currency,FX Forward,0,0,0,0,High,0.575611466126034,0,0,0,Full,1,2,Forward-Pricing
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Partial,1,1,Relative
Equity,Dividend Stock,1,1,0,1,Medium,,0,0,0,Full,1,1,DDM
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Full,1,1,Relative
Equity,Growth Stock,1,1,0,1,Low,,0,0,0,Full,1,1,Relative
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Bond,Government Bond,1,1,0,1,High,2.2614737668683933,0,0,0,Partial,1,1,DCF
Option,American Option,1,0,1,1,High,1.3969061542068253,0,1,0,Full,1,1,Binomial-Tree
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Full,1,1,Relative
Bond,Government Bond,1,1,0,1,High,18.722236653582446,0,0,0,Full,0,2,DCF
Equity,Growth Stock,1,1,0,1,High,,0,0,0,Full,1,1,DCF
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Option,Barrier Option,0,0,1,0,Low,3.2284365987134445,0,0,1,Partial,1,3,Monte-Carlo
Commodity,Liquid Exchange-Traded,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Equity,Growth Stock,1,1,0,1,Low,,0,0,0,Full,1,1,Relative
Commodity,Industrial Metal,1,0,0,1,High,0.5581183272449999,0,0,0,Full,1,1,Cost-of-Carry
Bond,Corporate Bond,1,1,0,0,Medium,10.958214363151683,1,0,0,Sparse,0,2,Credit-Model
Bond,Corporate Bond,1,1,0,0,High,17.464092220000584,1,0,0,Partial,0,3,Credit-Model
Option,American Option,0,0,1,1,High,0.4998130266784032,0,1,0,Partial,1,2,Binomial-Tree
Commodity,Industrial Metal,1,0,0,1,High,1.4141832047499778,0,0,0,Full,1,1,Cost-of-Carry
Bond,Corporate Bond,0,1,0,0,High,11.285319944567402,0,0,0,Partial,0,3,DCF
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Equity,Dividend Stock,1,1,0,1,Medium,,0,0,0,Full,1,1,DDM
Bond,Government Bond,1,1,0,1,High,4.9040020194648095,0,0,0,Full,0,2,DCF
Bond,Government Bond,0,1,0,0,Medium,12.728577820230079,0,0,0,Partial,1,1,DCF
ETF,Liquid Exchange-Traded,1,1,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Bond,Government Bond,1,1,0,1,Medium,21.851217178249183,0,0,0,Sparse,0,1,DCF
Bond,Corporate Bond,0,1,0,1,Medium,14.327326347660135,0,0,0,Partial,1,3,DCF
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Bond,Government Bond,1,1,0,1,High,5.462847720148363,0,0,0,Partial,1,2,DCF
Bond,Government Bond,1,1,0,1,Low,19.341598319632105,0,0,0,Full,0,1,DCF
Option,Barrier Option,0,0,1,0,Low,3.448467894879478,0,1,1,Sparse,1,3,Monte-Carlo
