asset_class,asset_subclass,has_market_price,has_cash_flows,has_options_features,is_exchange_traded,liquidity,maturity_years,has_credit_risk,has_early_exercise,is_path_dependent,data_availability,volatility_available,ifrs_level,recommended_method,risk_free_rate_3m,yield_10y,yield_curve_slope,implied_volatility_atm,iv_skew,beta,pe_ratio,dividend_yield,market_cap,debt_to_equity,duration_estimate,credit_spread_asset,convenience_yield,storage_cost_pct,asset_class_encoded,asset_subclass_encoded
Option,Digital Option,0,0,1,0,0,0.74,0,0,1,1,1,2,Monte-Carlo,3.829741528146269,4.479776591306595,0.310229822251778,0.2500075,0.06678905806678662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,21
Bond,Government Bond,1,1,0,1,2,16.65,0,0,0,2,1,1,DCF,3.8097448357104944,4.449910938894758,0.2508438712973249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.19063207454082,0.122941744313599,0.0,0.0,0,38
Currency,EM FX Forward,0,0,0,0,0,0.06,0,0,0,1,1,3,Forward-Pricing,3.8457517350667763,4.442884593082174,0.28771681494265583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,23
Bond,CDS,1,1,0,0,1,2.47,1,0,0,1,0,2,Credit-Model,3.806620844103055,4.41218953965483,0.2967192111224117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3107219204847547,3.2530736259234123,0.0,0.0,0,10
Option,American Put,1,0,1,1,2,1.7,0,1,0,2,1,1,Binomial-Tree,3.8339997378443407,4.462283123023152,0.26279970280348985,1.0000000000000003e-05,0.03381812776870953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3
Option,American Put,1,0,1,1,1,0.5,0,1,0,2,1,1,Binomial-Tree,3.792472317127702,4.445953958114236,0.25598550844561874,1.0000000000000003e-05,0.05330278184391377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3
Equity,Fintech Stock,1,0,0,1,2,-1.0,0,0,0,2,1,1,Relative,3.804565237163595,4.4621503974634855,0.2814991336566646,0.0,0.0,0.3777596628780999,114.82954687314704,4.154711344537344,2331940926585.9526,25.37366387076025,0.0,0.0,0.0,0.0,4,35
Bond,Convertible Bond,1,1,1,1,1,5.32,1,1,0,1,1,3,Credit-Model,3.8337698926668935,4.408724323373914,0.2770643354560829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000917581793349,1.9954498481861163,0.0,0.0,0,17
Option,Asian Option,0,0,1,0,0,0.59,0,0,1,1,1,3,Monte-Carlo,3.844141635006912,4.463787134798616,0.2838954834264173,1.0000000000000003e-05,0.050440202201060526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4
Currency,Major FX Forward,1,0,0,0,1,0.47,0,0,0,2,1,2,Forward-Pricing,3.8332817025847876,4.405785998043433,0.3114741886297957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,52
Currency,FX Spot,1,0,0,0,2,0.11,0,0,0,2,1,1,Forward-Pricing,3.8277853353922655,4.484261067647888,0.2733409310675308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,34
Option,American Call,1,0,1,1,1,1.23,0,1,0,2,1,2,Binomial-Tree,3.8242338642294653,4.471638174521212,0.24615550302087752,0.500005,0.035746649344290574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
Bond,MBS,0,1,0,0,0,11.65,1,0,0,0,0,2,DCF,3.801686303884464,4.453785775597232,0.27133280004336807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.847827157649387,1.715536146423283,0.0,0.0,0,50
Bond,Corporate Bond (HY),1,1,0,1,1,5.23,1,0,0,0,1,1,Credit-Model,3.8162149834092416,4.47254865287983,0.2748311358841072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.169646912130652,3.0624050875675244,0.0,0.0,0,18
Option,OTC European Option,0,0,1,0,1,2.69,1,0,0,1,1,3,Black-Scholes,3.82117876753612,4.4381889439426025,0.29534337274176453,0.12500875,0.059627129867759754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,57
Bond,Government Bond,1,1,0,1,2,14.2,0,0,0,2,1,1,DCF,3.8502438906320924,4.461613973998213,0.2660647120914455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.907052135553723,0.36577377426196755,0.0,0.0,0,38
Bond,Government Bond,1,1,0,1,2,5.83,0,0,0,1,1,2,DCF,3.836580290245236,4.477723461057666,0.2618186433260919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.317379098871078,0.14725657787776514,0.0,0.0,0,38
Option,Asian Option,0,0,1,0,0,2.56,0,0,1,1,1,3,Monte-Carlo,3.796237781024804,4.390997349745262,0.24257612007666776,0.062509375,0.05759006423212021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4
Commodity,Commodity Spot,1,0,0,1,2,1.41,0,0,0,2,1,1,Cost-of-Carry,3.8362062080139108,4.450026896779192,0.2809482558412822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05907839348067817,0.023363121395114275,1,14
Currency,Major Currency Pair,1,0,0,1,2,-1.0,0,0,0,2,1,1,Forward-Pricing,3.8226256743300278,4.459495035897959,0.3369641437107791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,51
Bond,Government Bond,1,1,0,1,2,8.77,0,0,0,1,1,1,DCF,3.817036943694141,4.455622652324269,0.2655481803199208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56288072347391,0.08536255136339532,0.0,0.0,0,38
Bond,CDS,1,1,0,0,0,2.78,1,0,0,1,0,3,Credit-Model,3.8417136009313033,4.492493370724871,0.27903909909043856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3283052967555484,2.162297538733922,0.0,0.0,0,10
Option,Swaption,0,0,1,0,0,3.96,0,0,0,1,1,2,Black-Scholes,3.849743640855798,4.43493700491422,0.2590433429337003,0.12500875,0.053922687973146616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,66
Bond,Corporate Bond (IG),1,1,0,1,2,12.25,1,0,0,2,1,2,DCF,3.847834014281075,4.446148148871171,0.24437430160008278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.737863006661913,3.681785271447157,0.0,0.0,0,19
Derivative,FX Option,0,0,1,0,0,0.54,0,0,0,0,1,2,Black-Scholes,3.8139289844302864,4.417276120713321,0.2786847187840102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,33
Derivative,Equity Swap,0,1,0,0,1,1.83,1,0,0,1,1,2,DCF,3.824078583002449,4.493679392323391,0.2705637656687434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,28
Commodity,Industrial Metal,1,0,0,1,2,0.89,0,0,0,1,1,1,Cost-of-Carry,3.8363436947113785,4.454507729819824,0.2222889171386831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04805489947508313,0.02192236005949291,1,44
Bond,Municipal Bond,0,1,0,0,0,17.47,1,0,0,0,0,3,DCF,3.8486816891843936,4.450223481796781,0.30220057431480196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.941251126930668,2.060374323198443,0.0,0.0,0,55
Equity,Biotech Stock,1,0,0,1,2,-1.0,0,0,0,2,1,1,Relative,3.8208238133452626,4.458829636184471,0.2783192875267419,0.0,0.0,0.5931813110970945,44.76311758011983,2.7381666049962985,111964129743.36913,155.38993670656177,0.0,0.0,0.0,0.0,4,7
Currency,EM FX Forward,0,0,0,0,0,0.95,0,0,0,0,1,2,Forward-Pricing,3.826444630596888,4.474188058973996,0.27147791100207164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,23
Bond,CDS,1,1,0,0,0,8.1,1,0,0,1,0,2,Credit-Model,3.8088136852477845,4.46774620389841,0.2615604627181534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8810544534999805,1.680883077595503,0.0,0.0,0,10
Derivative,Equity Swap,0,1,0,0,1,2.55,1,0,0,1,1,3,DCF,3.8070926431488554,4.519047817962323,0.27810588220986143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,28
Bond,Corporate Bond (IG),1,1,0,1,1,15.35,1,0,0,2,1,2,DCF,3.845559869498849,4.470122770311405,0.27902791904832025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.95024722835969,3.32619564497251,0.0,0.0,0,19
Option,European Call,1,0,1,1,1,1.94,0,0,0,2,1,2,Black-Scholes,3.8559719965471317,4.44962502692953,0.2780264274745338,0.500005,0.05733340170218088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,29
Option,OTC European Option,0,0,1,0,1,1.45,1,0,0,1,1,3,Black-Scholes,3.8286210061717365,4.447481744753215,0.2913598608900694,1.0000000000000003e-05,0.059627069894425955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,57
Derivative,Interest Rate Swap,0,1,0,0,1,8.65,1,0,0,2,0,2,DCF,3.8492176549946326,4.451241475361105,0.2959054246766665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,45
Option,European Put,1,0,1,1,0,1.2,0,0,0,1,1,2,Black-Scholes,3.836925329879662,4.426509036580755,0.3101118612723675,0.007822421875,0.06872415081694214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,31
Option,European Call,1,0,1,1,1,0.09,0,0,0,1,1,1,Black-Scholes,3.817645956699312,4.460888971827063,0.25326315635102514,1.0000000000000003e-05,0.06501846158235373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,29
Currency,EM FX Forward,0,0,0,0,0,0.4,0,0,0,1,1,2,Forward-Pricing,3.836920725845486,4.477471338768459,0.25853156972465524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,23
Option,European Call,1,0,1,1,2,0.6,0,0,0,1,1,1,Black-Scholes,3.8594534002478236,4.446321991706102,0.2772236433408323,0.0312596875,0.061878711336006344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,29
Bond,Corporate Bond (HY),1,1,0,1,0,4.94,1,0,0,1,1,3,Credit-Model,3.8293139313510447,4.4419954247448645,0.25441818282524387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37356917522649,4.04335865652013,0.0,0.0,0,18
Bond,Sovereign Emerging Bond,1,1,0,1,1,15.52,1,0,0,1,1,2,DCF,3.8599629260088384,4.4938055767623615,0.25763969855255514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.738477576756534,1.2950560266779623,0.0,0.0,0,65
Currency,EM FX Forward,0,0,0,0,0,0.99,0,0,0,0,1,3,Forward-Pricing,3.779831881256681,4.428189425607348,0.2795045916301322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,23
Equity,Consumer Staple Stock,1,1,0,1,2,-1.0,0,0,0,2,1,1,DDM,3.8457394329587857,4.413887650204557,0.2880168470995966,0.0,0.0,1.095722931710835,24.460645322428036,4.00607209063666,71290128138.94269,17.61492825821336,0.0,0.0,0.0,0.0,4,16
Bond,Corporate Bond (IG),1,1,0,1,0,18.96,1,0,0,1,1,1,DCF,3.831666951356761,4.434290286656664,0.29551855905557683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.32167987597552,3.476484261900093,0.0,0.0,0,19
Option,Asian Option,0,0,1,0,2,1.8,0,0,1,0,1,1,Monte-Carlo,3.8242740092385787,4.425648350408128,0.2661477117248476,1.0000000000000003e-05,0.0816655514014599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4
Equity,Index ETF,1,1,0,1,2,-1.0,0,0,0,2,1,1,Mark-to-Market,3.8317572188706555,4.4686128412295325,0.279263059270759,0.0,0.0,0.6576588184191566,31.737401238818617,7.06304814123191,1452883861592.474,159.85882361374078,0.0,0.0,0.0,0.0,4,43
Derivative,Interest Rate Swap,0,1,0,0,1,26.61,1,0,0,1,0,2,DCF,3.7919380552853927,4.451956289639974,0.27485515471787497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,45
Bond,Government Bond,1,1,0,1,2,19.75,0,0,0,2,1,2,DCF,3.825793283347912,4.455100978895969,0.2703531489035993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.827670437598933,0.0605967593221986,0.0,0.0,0,38
Option,European Put,1,0,1,1,1,0.34,0,0,0,1,1,3,Black-Scholes,3.8368387057444497,4.485710432146537,0.2536798166958392,1.0000000000000003e-05,0.051512434664749356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,31
Bond,Government Bond,1,1,0,1,2,26.23,0,0,0,1,1,1,DCF,3.8583016709568003,4.44458323259607,0.2511357782159491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.06763598419937,0.1988582380446543,0.0,0.0,0,38
Bond,Corporate Bond (IG),1,1,0,1,1,12.77,1,0,0,2,1,2,DCF,3.8200751253200598,4.477284493881927,0.2833334955991187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.796912615313694,4.261999297690991,0.0,0.0,0,19
Bond,Convertible Bond,1,1,1,1,0,4.24,1,1,0,1,1,2,Credit-Model,3.8145173475045957,4.493702498422231,0.2533436124023155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.652947426549973,1.0253513820020936,0.0,0.0,0,17
Commodity,Industrial Metal,1,0,0,1,1,1.34,0,0,0,2,1,3,Cost-of-Carry,3.8203913526153563,4.4498387262942956,0.23446162350345903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053587596914971246,0.013502234821019164,1,44
Currency,EM FX Forward,0,0,0,0,1,0.42,0,0,0,1,1,2,Forward-Pricing,3.847529950553995,4.476435609678906,0.2693647735341958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,23
Bond,Government Bond,1,1,0,1,1,26.65,0,0,0,1,1,1,DCF,3.8362955837499833,4.454607460550604,0.29910480604299455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.64662181034682,0.3730134297699552,0.0,0.0,0,38
Option,Barrier Option,0,0,1,0,0,0.24,0,0,1,1,1,2,Monte-Carlo,3.819855092097861,4.48060738827315,0.21410299123195473,0.12500875,0.04499415048120593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6
Bond,Government Bond,1,1,0,1,1,9.6,0,0,0,1,1,1,DCF,3.839829071344121,4.424955791117049,0.26423339453692934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.887832779568482,0.40695054770253974,0.0,0.0,0,38
Bond,Corporate Bond (IG),1,1,0,1,1,11.87,1,0,0,1,1,2,DCF,3.8318590350700146,4.423305076933705,0.2835042973065242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.080348800173141,1.8957240453189743,0.0,0.0,0,19
Commodity,Industrial Metal,1,0,0,1,2,0.47,0,0,0,2,1,2,Cost-of-Carry,3.8485495515687047,4.451274729957562,0.23353007133570355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0747087985905535,0.029796369433588675,1,44
Bond,Corporate Bond (IG),1,1,0,1,1,3.94,1,0,0,2,1,2,DCF,3.816555683252249,4.440176976757967,0.26573334167597795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.602941058963316,2.194308737184489,0.0,0.0,0,19
Option,American Call,1,0,1,1,2,0.79,0,1,0,2,1,2,Binomial-Tree,3.8237252698926527,4.448477386859714,0.24721085510894872,1.0000000000000003e-05,0.07033468503920952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
Option,OTC European Option,0,0,1,0,0,1.28,1,0,0,1,1,3,Black-Scholes,3.822491128867519,4.4551045572114285,0.24985643771986185,1.0000000000000003e-05,0.07726154519147188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,57
Bond,CDS,0,1,0,0,1,2.71,1,0,0,0,0,2,Credit-Model,3.80197368874327,4.476056301759948,0.26195163584595915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.516462053899294,1.0561823406001793,0.0,0.0,0,10
Bond,Corporate Bond (HY),1,1,0,1,0,2.28,1,0,0,0,1,2,Credit-Model,3.8356707033057864,4.450909169097979,0.24753704219735617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.115511956752014,3.7119504010071753,0.0,0.0,0,18
Bond,Floating Rate Note,1,1,0,1,1,1.3,0,0,0,1,1,2,DCF,3.8349992084622446,4.441627892773105,0.24587398593696333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9920932297826908,0.4173129124438224,0.0,0.0,0,36
Currency,FX Spot,1,0,0,0,2,0.51,0,0,0,2,1,1,Forward-Pricing,3.830097922694703,4.452161251698277,0.2688153649691595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,34
Bond,Corporate Bond (IG),1,1,0,1,0,13.06,1,0,0,1,1,1,DCF,3.825507656395866,4.442848060260312,0.3145427812107133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.912391048359686,2.6775413005435227,0.0,0.0,0,19
Bond,Corporate Bond (IG),1,1,0,1,2,6.26,1,0,0,1,1,2,DCF,3.802895650289735,4.439171677304001,0.2851548663489567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.436226248677479,3.589509929483046,0.0,0.0,0,19
Bond,Floating Rate Note,1,1,0,1,2,3.45,0,0,0,2,1,1,DCF,3.8219446420690435,4.424029725057234,0.2902106553407667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8704680251587185,0.21400182355199238,0.0,0.0,0,36
Bond,Corporate Bond (HY),1,1,0,1,1,10.7,1,0,0,1,1,2,Credit-Model,3.8234370170085126,4.46154936199173,0.28594524876837646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.676522273765391,2.619719720244909,0.0,0.0,0,18
Option,Barrier Option,0,0,1,0,0,0.78,0,0,1,0,1,3,Monte-Carlo,3.8146363902944063,4.447317862742885,0.2560497277464152,1.0000000000000003e-05,0.052241242795926596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6
Option,European Call,1,0,1,1,1,0.44,0,0,0,2,1,1,Black-Scholes,3.8269113786215962,4.481548015884933,0.27621664458232276,0.062509375,0.07237118250951745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,29
Option,American Call,1,0,1,1,1,1.84,0,1,0,2,1,1,Binomial-Tree,3.837737573907998,4.4277230671470855,0.29195388521884624,0.2500075,0.053258605888609534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
Derivative,Interest Rate Swap,0,1,0,0,1,11.52,1,0,0,1,0,2,DCF,3.8661204600081818,4.447911536722432,0.2865667493556354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,45
