symbol,name,sector,industry,quoteType,market_cap,enterprise_value,pe_ratio,forward_pe,peg_ratio,price_to_book,ev_to_ebitda,beta,dividend_yield,payout_ratio,roe,roa,profit_margin,revenue_growth,debt_to_equity,current_ratio,free_cashflow,total_revenue,52w_high,52w_low,avg_volume,asset_class,recommended_method
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,EQUITY,556765151232,589701185536,26.800694,18.186977,2.97,6.856084,17.18,0.256,2.32,0.6025,0.26416,0.08424,0.21834,0.099,67.73,1.025,12511375360.0,96361996288,251.71,150.73,7787250,Equity,DCF
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,EQUITY,369324163072,423450181632,30.577442,19.429989,1.39,3.7726119,19.728,0.65,2.28,0.6657,0.121759996,0.03783,0.02678,0.02,73.982,0.798,17687500800.0,449713012736,415.98,234.6,7768443,Equity,DCF
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,EQUITY,142942060544,194895052800,19.145039,8.864728,13.77,1.5863377,7.655,0.295,6.86,1.3130001,0.083100006,0.05687,0.118310004,0.054,71.602,1.247,12376625152.0,63315001344,28.75,23.11,36596887,Equity,DCF
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,EQUITY,406380019712,469945024512,112.75,14.189582,0.6,-61.059196,15.709,0.309,3.01,3.2598002,,0.10032,0.05786,0.124,,0.796,20811624448.0,62819000320,244.81,181.73,6155766,Equity,DCF
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,EQUITY,285215358976,328683323392,32.52958,12.064935,5.3,6.216624,11.135,0.218,2.94,0.9352,0.18944,0.12578,0.13586001,0.049,106.936,1.299,14049250304.0,65768001536,125.14,76.66,9985670,Equity,DCF
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,EQUITY,573950853120,619791843328,23.311447,12.996277,1.14,2.2309043,11.066,0.149,2.98,0.6801,0.09873,0.04221,0.077649996,0.026,18.261,1.036,11630499840.0,326008012800,176.41,105.53,19378467,Equity,DCF
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,EQUITY,348649095168,391925858304,30.498259,13.927208,0.7,1.8842702,10.339,0.472,4.07,1.2038,0.06638,0.0346,0.059270002,0.023,23.989,1.094,11776499712.0,185740001280,214.71,142.4,10553219,Equity,DCF
COP,ConocoPhillips,Energy,Oil & Gas E&P,EQUITY,133646852096,150610853888,18.59322,11.929852,0.91,2.07071,6.451,0.106,3.06,0.5492,0.112840004,0.05865,0.12331,-0.053,36.143,1.289,5289124864.0,59377999872,135.87,85.57,8252046,Equity,DCF
SLB,SLB N.V.,Energy,Oil & Gas Equipment & Services,EQUITY,71688019968,81041014784,21.123348,14.329431,1.65,2.7385914,10.791,0.708,2.46,0.5066,0.14066,0.06467,0.09263,0.027,42.515,1.341,3043124992.0,35939000320,58.82,31.64,14966750,Equity,DCF
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,EQUITY,70749052928,75206049792,13.073819,8.963698,1.04,2.2985742,5.975,0.256,3.07,0.3923,0.18195,0.08968,0.23322001,0.156,26.873,1.716,2864250112.0,23569999872,151.87,101.59,3966877,Equity,DCF
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,EQUITY,2504147599360,2596598448128,31.629074,23.560905,1.83,5.664955,16.66,1.444,,0.0,0.24285,0.06845,0.12224,0.166,53.3,1.177,9806624768.0,742775980032,278.56,196.0,45341033,Equity,DCF
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,EQUITY,1521255841792,1493088993280,371.60547,162.02324,5.72,18.497969,134.585,1.798,,0.0,0.04901,0.022330001,0.03946,0.158,18.738,2.043,5251999744.0,97878999040,498.83,288.77,57648448,Equity,DCF
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,EQUITY,932527669248,1003988713472,41.260563,35.647144,4.61,9.37365,22.391,0.599,0.84,0.33540002,0.24132,0.06835,0.03135,0.073,74.816,0.771,6862249984.0,725304999936,135.16,94.23,20241343,Equity,DCF
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,EQUITY,343887478784,369592500224,21.590641,20.839447,4.22,6.398336,14.759,0.385,2.88,0.618,0.31112,0.10925999,0.19162,0.074,67.651,0.732,12733750272.0,86716997632,167.25,137.62,8736024,Equity,DCF
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,EQUITY,342176432128,375104438272,25.009434,22.830618,4.06,10.175282,22.441,0.354,2.67,0.64779997,0.43372002,0.0951,0.278,0.121,124.943,1.358,3124250112.0,49284001792,84.04,65.35,15665779,Equity,DCF
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,EQUITY,470853976064,510649008128,51.011974,33.948986,2.34,25.234627,35.079,1.603,0.64,0.2958,0.51331,0.085200004,0.13328,0.222,230.793,1.353,3776624896.0,70755000320,1023.29,367.92,2597224,Equity,DCF
BA,The Boeing Company,Industrials,Aerospace & Defense,EQUITY,174080802816,203522801664,86.94095,52.812077,24.13,29.091028,-62.449,1.198,,0.0,1.69947,-0.02069,0.024600001,0.14,828.696,1.176,2554249984.0,92184002560,254.35,176.77,6603469,Equity,DCF
GE,GE Aerospace,Industrials,Aerospace & Defense,EQUITY,371039895552,381489905664,44.05955,40.882347,8.61,20.518866,34.565,1.375,0.53,0.1925,0.45428002,0.048520003,0.17863001,0.247,116.527,1.008,5667999744.0,48312999936,364.7,243.34,5754143,Equity,DCF
UNP,Union Pacific Corporation,Industrials,Railroads,EQUITY,154311999488,184781996032,21.40939,18.969511,3.14,7.946374,14.682,0.974,2.12,0.45099998,0.40686,0.09137999,0.29202,0.032,162.246,0.916,4034374912.0,24700000256,279.7,210.84,2946008,Equity,DCF
HON,Honeywell International Inc.,Industrials,Conglomerates,EQUITY,144542613504,170980605952,36.4976,19.92899,2.1,10.635986,20.054,0.843,2.09,0.74120003,0.24264,0.05953,0.1089,0.024,257.387,1.385,2936875008.0,37660000256,248.18,186.76,4337169,Equity,DCF
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,EQUITY,179528908800,293321179136,21.847715,19.557058,1.91,3.2506325,20.716,0.671,2.9,0.5895,0.10325,0.02412,0.29369,0.073,156.686,0.542,-18453374976.0,27865999360,98.75,67.2,10603282,Equity,DCF
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,EQUITY,96295723008,188358721536,19.003077,17.23046,2.62,1.796759,11.431,0.379,3.45,0.65230006,0.09661,0.02782,0.15706,0.113,161.495,0.661,-2246500096.0,32718999552,134.49,113.9,3371961,Equity,DCF
SO,The Southern Company,Utilities,Utilities - Regulated Electric,EQUITY,105323741184,183137746944,23.89514,19.00498,2.65,2.8372304,13.106,0.339,3.25,0.75699997,0.109910004,0.03237,0.14458999,0.08,190.431,0.65,-3950000128.0,30175000576,100.84,83.8,5537595,Equity,DCF
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,EQUITY,59842031616,117252145152,20.070797,17.837574,2.98,2.1241257,14.23,0.642,3.92,0.78760004,0.09787,0.03086,0.16929,0.231,154.901,0.777,-9948250112.0,17449000960,69.28,54.8,6702017,Equity,DCF
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,EQUITY,70896885760,123358871552,19.275148,19.001038,2.34,2.228379,13.495,0.518,2.92,0.55619997,0.12585,0.031689998,0.16289,0.102,157.099,0.526,-6953449984.0,22432999424,139.44,101.15,4054880,Equity,DCF
AMT,American Tower Corporation,Real Estate,REIT - Specialty,EQUITY,82197512192,132349411328,28.502422,25.546906,1.85,23.340387,18.935,0.891,3.96,0.8226,0.29952,0.04911,0.26806998,0.068,444.55,0.304,4614362624.0,10819300352,234.33,165.08,3108817,Equity,DCF
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,EQUITY,134775037952,173046202368,36.13819,42.840336,109.33,2.5092027,26.377,1.334,2.98,1.0302,0.06844,0.024820002,0.39646,0.083,60.934,0.531,4854310400.0,9376112640,150.18,103.41,3573972,Equity,DCF
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,EQUITY,36277886976,66101886976,35.07173,28.068281,1.34,-18.873753,24.213,0.948,5.11,1.7932,,0.04048,0.25136,-0.048,,0.267,1202875008.0,4212999936,115.76,75.96,3647338,Equity,DCF
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,EQUITY,110058733568,132054745088,76.90833,58.051334,3.58,7.6974115,30.84,0.97,1.77,1.3299,0.10059,0.03495,0.14928001,0.121,162.961,1.178,2725125120.0,9525999616,1128.68,710.52,547983,Equity,DCF
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,EQUITY,81532231680,99547373568,14.921419,31.992569,4.58,14.441379,20.254,1.346,4.1,0.60150003,1.1359,0.05562,0.70594,0.193,457.473,0.196,2494690560.0,6648586240,220.44,157.05,1680667,Equity,DCF
ETSY,"Etsy, Inc.",Consumer Cyclical,Internet Retail,EQUITY,6883772928,8533780480,27.793104,11.083508,0.72,-6.0545864,19.439,1.864,,0.0,,0.1015,0.09811,0.031,,1.689,165655504.0,2902574080,76.515,44.0,3080564,Equity,DCF
ROKU,"Roku, Inc.",Communication Services,Entertainment,EQUITY,20055859200,18074198016,100.14815,37.657543,0.98,7.4700255,46.212,2.027,,0.0,0.07755,0.01644,0.04058,0.224,18.761,2.91,679980608.0,4965457920,148.88,78.53,3883856,Equity,DCF
DKNG,DraftKings Inc.,Consumer Cyclical,Gambling,EQUITY,12725704704,13644149760,284.99997,14.995002,0.1,21.02459,41.775,1.654,,0.0,0.07936,0.0070200004,0.00932,0.168,316.975,1.019,603175872.0,6291794944,48.78,20.46,12814375,Equity,DCF
CROX,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,EQUITY,6151578624,7746141184,,8.523594,1.39,4.375177,8.146,1.557,,0.0,-0.061079998,0.115559995,-0.02578,-0.017,120.881,1.666,446939616.0,4024771072,129.79,73.21,1242050,Equity,DCF
FIVE,"Five Below, Inc.",Consumer Cyclical,Specialty Retail,EQUITY,10696885248,11582332928,24.394703,19.873964,0.98,4.625888,15.291,0.969,,0.0,0.21127,0.07373,0.086739995,0.325,86.432,2.098,427309888.0,5079221760,251.63,123.25,1260027,Equity,DCF
TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,EQUITY,2425558401024,17156668391424,40.31638,23.792553,1.44,103.991905,6.007,1.25,0.81,0.2793,0.3621,0.17322001,0.46505,0.351,18.447,2.488,719158444032.0,4103904165888,476.79,213.88,13519720,Equity,DCF
NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,EQUITY,203153457152,328579907584,10.92381,13.880218,3.13,6.54833,1.89,0.349,3.93,0.4259,0.71402,0.19249001,0.37205002,0.24,72.086,0.788,-12039249920.0,327799996416,71.8,35.12,15453630,Equity,DCF
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,EQUITY,743566999552,41301714141184,64.93605,40.166615,2.83,1728.8254,3250.977,1.396,0.46,0.2582,0.52236,0.15664,0.29713,0.132,12.989,1.36,8243274752.0,33692700672,1959.04,683.48,1852364,Equity,DCF
SAP,SAP SE,Technology,Software - Application,EQUITY,176262168576,172202131456,20.881285,15.358427,1.35,3.3442857,14.84,0.727,1.96,0.37150002,0.16350001,0.09082,0.19584,0.06,17.331,1.069,8143750144.0,37341999104,313.28,149.19,3456703,Equity,DCF
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,EQUITY,251837087744,275258277888,16.149231,11.392922,0.37,1.557393,2.5,0.46,1.0,0.1712,0.092159994,0.0212,0.1012,0.029,25.014,1.282,-44074250240.0,1023670026240,192.67,103.71,11068843,Equity,DCF
